행정동명,집계구코드,위도,경도,집계구별_물동량,가중치,총가구수,총인구수
화곡본동,1.11606E+13,37.538848974120505,126.84364560032904,72,0.001066313,263,586
화곡3동,1.11606E+13,37.54703601647819,126.83377363064396,72,0.001062674,185,584
방화1동,1.11607E+13,37.57123250288886,126.81450723501635,72,0.001069953,223,588
방화1동,1.11607E+13,37.56560669406814,126.81378392928215,72,0.001064494,256,585
염창동,1.11605E+13,37.55718396561848,126.86638845389379,72,0.001062674,194,584
화곡8동,1.11606E+13,37.53170914964314,126.84977328725128,72,0.001069953,258,588
등촌1동,1.11605E+13,37.556442608033926,126.85435588592762,72,0.001062674,220,584
화곡4동,1.11606E+13,37.53669053638274,126.8584731,72,0.001066313,241,586
공항동,1.11607E+13,37.55770348692304,126.81067357355565,72,0.001068133,303,587
공항동,1.11607E+13,37.55543403513211,126.81382638778236,72,0.001066313,305,586
화곡본동,1.11606E+13,37.540900070096356,126.85012858292419,72,0.001073592,256,590
발산1동,1.11607E+13,37.54962097760918,126.83473329721433,72,0.001069953,247,588
화곡본동,1.11606E+13,37.54690729064345,126.84699548782139,72,0.001064494,396,585
화곡1동,1.11607E+13,37.53509902536638,126.84186457060622,72,0.001062674,238,584
화곡1동,1.11607E+13,37.535310968536656,126.8439888357658,72,0.001073592,244,590
화곡1동,1.11607E+13,37.54076618719077,126.83849148816961,72,0.001066313,350,586
화곡3동,1.11606E+13,37.54218990595329,126.83203822096175,71,0.001048117,200,576
염창동,1.11605E+13,37.547871767555364,126.87286880858552,71,0.001049937,219,577
가양3동,1.11607E+13,37.55987709562732,126.86148522001201,71,0.001055396,294,580
등촌3동,1.11605E+13,37.561240443459674,126.84360727796233,71,0.001059035,417,582
우장산동,1.11607E+13,37.55058634406256,126.83938382539833,71,0.001055396,181,580
우장산동,1.11607E+13,37.54904572097461,126.83988840369368,71,0.001053576,186,579
화곡8동,1.11606E+13,37.536041527617435,126.84470431688149,71,0.001053576,222,579
화곡3동,1.11606E+13,37.54611623121119,126.83366071438704,71,0.001053576,223,579
공항동,1.11607E+13,37.55974289763767,126.81171085346487,71,0.001051756,322,578
등촌1동,1.11605E+13,37.55535666596199,126.85588900473373,71,0.001051756,295,578
발산1동,1.11607E+13,37.557813481181576,126.82394050729872,71,0.001057215,184,581
발산1동,1.11607E+13,37.55294677891305,126.83392526329688,71,0.001049937,252,577
가양3동,1.11607E+13,37.56140152523098,126.86116062404783,71,0.001051756,402,578
등촌2동,1.11605E+13,37.542984280115164,126.86163753313754,71,0.001060854,212,583
등촌1동,1.11605E+13,37.55615499617792,126.85656999230616,71,0.001055396,226,580
공항동,1.11607E+13,37.56230818278022,126.82012019733227,71,0.001059035,200,582
염창동,1.11605E+13,37.55568085,126.86947880695021,71,0.001049937,182,577
화곡8동,1.11606E+13,37.53448237418975,126.85074872984244,71,0.001059035,254,582
공항동,1.11607E+13,37.56155564276965,126.81483370126725,71,0.001059035,284,582
화곡2동,1.11606E+13,37.53153967138844,126.85222819005043,71,0.001049937,250,577
화곡4동,1.11606E+13,37.53626953769212,126.85944279649424,71,0.001051756,262,578
가양3동,1.11607E+13,37.56152453833055,126.85709924005621,71,0.001055396,315,580
발산1동,1.11607E+13,37.55181521717206,126.8337005096867,71,0.001060854,212,583
염창동,1.11605E+13,37.548397645296525,126.87348289441464,71,0.001060854,197,583
화곡1동,1.11607E+13,37.53110713368894,126.84064594194176,71,0.001055396,259,580
가양3동,1.11607E+13,37.56023864177613,126.85841196673016,71,0.001055396,390,580
화곡4동,1.11606E+13,37.54006811114711,126.85639757638073,71,0.001048117,260,576
화곡1동,1.11607E+13,37.533834442266354,126.83784513942639,71,0.001049937,204,577
가양3동,1.11607E+13,37.56239060014613,126.8596977,70,0.001039019,234,571
가양3동,1.11607E+13,37.55952914549688,126.86059192021102,70,0.001042658,322,573
염창동,1.11605E+13,37.55423396191232,126.86827900771944,70,0.001040838,205,572
우장산동,1.11607E+13,37.54690175962869,126.84455639604475,70,0.001037199,274,570
화곡1동,1.11607E+13,37.537086230545974,126.84236779419581,70,0.001044478,286,574
우장산동,1.11607E+13,37.54816501288417,126.84072408253469,70,0.001035379,189,569
화곡6동,1.11606E+13,37.551849745989564,126.8536234007058,70,0.001037199,268,570
우장산동,1.11607E+13,37.54629281327101,126.84179355504675,70,0.001037199,190,570
가양1동,1.11608E+13,37.572163256874795,126.84576979195323,70,0.001044478,200,574
방화1동,1.11607E+13,37.565029328819534,126.82152821807296,70,0.001046297,177,575
방화1동,1.11607E+13,37.569812090838866,126.82160579022529,70,0.001042658,192,573
등촌3동,1.11605E+13,37.55988368790237,126.84717276588057,70,0.001046297,196,575
등촌1동,1.11605E+13,37.556822207560494,126.85948713555675,70,0.001037199,374,570
방화2동,1.11607E+13,37.566708266346616,126.80683611574382,70,0.001039019,286,571
등촌2동,1.11605E+13,37.54432503,126.85886575888817,70,0.001040838,197,572
방화2동,1.11607E+13,37.57022564821036,126.81099732151714,70,0.001044478,264,574
공항동,1.11607E+13,37.56253849512127,126.81710430108619,70,0.001046297,207,575
화곡1동,1.11607E+13,37.53181716685995,126.84183948148177,70,0.001040838,298,572
발산1동,1.11607E+13,37.55621546872849,126.82717462269906,70,0.001042658,206,573
화곡본동,1.11606E+13,37.546945430288595,126.84938763187361,70,0.001040838,269,572
화곡본동,1.11606E+13,37.540782579584004,126.84395761226945,70,0.00103356,251,568
화곡1동,1.11607E+13,37.531330659451356,126.84619222739242,70,0.001046297,305,575
공항동,1.11607E+13,37.56123748841137,126.8200895059343,69,0.001022642,169,562
염창동,1.11605E+13,37.55539023538125,126.86871566449288,69,0.001020822,230,561
화곡8동,1.11606E+13,37.535498953649075,126.84988498212017,69,0.00102992,240,566
가양3동,1.11607E+13,37.56054423632032,126.8611299078003,69,0.001020822,327,561
가양2동,1.11607E+13,37.56534343010456,126.85263677726579,69,0.001024462,397,563
화곡8동,1.11606E+13,37.534077907051454,126.84834826969357,69,0.001024462,249,563
화곡8동,1.11606E+13,37.53824498180822,126.84701545914407,69,0.001019003,253,560
등촌2동,1.11605E+13,37.55145898,126.8625356348993,69,0.001017183,334,559
가양1동,1.11608E+13,37.56737127451828,126.84557506145215,69,0.001017183,448,559
염창동,1.11605E+13,37.550668082073685,126.86637787828823,69,0.001019003,496,560
화곡2동,1.11606E+13,37.533202871181615,126.85488916898551,69,0.001020822,225,561
화곡2동,1.11606E+13,37.531576409478646,126.85464691634608,69,0.001019003,264,560
화곡3동,1.11606E+13,37.543055759309155,126.83541704662237,69,0.001028101,244,565
방화2동,1.11607E+13,37.56896528348771,126.80958234885996,69,0.001019003,232,560
